Folder Name,Jobs Unique to GETSOLUTION,Jobs Unique to ResequenceSolution,Jobs Relocated,Jobs Retained,Order Changed,Total Distance (km) (GetSolution),Total Distance (km) (ResequenceSolution),Summary Total Distance (km) (Delta),Total Time (GetSolution),Total Time (ResequenceSolution),Summary Total Time (Delta),Duty Time (GetSolution),Duty Time (ResequenceSolution),Summary Duty Time (Delta),Number of Vehicles Used (GetSolution),Number of Vehicles Used (ResequenceSolution),Summary Number of Vehicles Used (Delta),Delay Time (GetSolution),Delay Time (ResequenceSolution),Summary Delay Time (Delta),Number of JobIds (GetSolution),Number of JobIds (ResequenceSolution),Summary Number of JobIds (Delta),Violations (GetSolution),Violations (ResequenceSolution),Summary Violations (Delta),List of VehicleIds (GetSolution),List of VehicleIds (ResequenceSolution),Summary List of VehicleIds (Delta),Number of Stops (GetSolution),Number of Stops (ResequenceSolution),Summary Number of Stops (Delta)
206951,"['D-040523EF79', 'C-040523EF79']",[],[],"['C-040523EF77', 'D-040523EF89', 'D-040523EF92', 'D-040523EF84', 'D-040523EF78', 'C-040523EF81', 'C-040523EF78', 'C-040523EF85', 'D-040523EF80', 'C-040523EF90', 'C-040523EF91', 'D-040523EF81', 'D-040523EF91', 'D-040523EF87', 'D-040523EF76', 'C-040523EF88', 'D-040523EF77', 'C-040523EF82', 'C-040523EF92', 'D-040523EF90', 'C-040523EF93', 'D-040523EF88', 'C-040523EF89', 'D-040523EF82', 'C-040523EF86', 'C-040523EF94', 'D-040523EF86', 'D-040523EF93', 'C-040523EF76', 'Depot', 'D-040523EF94', 'C-040523EF80', 'C-040523EF87', 'C-040523EF83', 'D-040523EF85', 'D-040523EF83', 'C-040523EF84']",True,154.77100000000002,102.465,-52.30600000000001,0 days 02:36:17,0 days 01:41:01,0.0,0 days 05:55:00,0 days 05:37:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,39,37,-2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,17,16,-1.0
206962,[],"['D-040523RO24', 'C-040523RO24']",[],"['D-040523RO25', 'D-040523RO19', 'C-040523RO25', 'D-040523RO20', 'D-040523RO31', 'C-040523RO30', 'C-040523RO17', 'D-040523RO22', 'D-040523RO27', 'C-040523RO22', 'C-040523RO26', 'C-040523RO21', 'D-040523RO29', 'C-040523RO29', 'C-040523RO28', 'D-040523RO28', 'D-040523RO17', 'D-040523RO23', 'D-040523RO30', 'C-040523RO18', 'C-040523RO27', 'D-040523RO18', 'C-040523RO31', 'C-040523RO23', 'D-040523RO21', 'D-040523RO26', 'Depot', 'C-040523RO19', 'C-040523RO20']",True,657.906,749.644,91.73800000000006,0 days 06:10:25,0 days 06:54:38,0.0,0 days 04:30:30,0 days 04:45:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,29,31,2.0,[],"[{'$id': '34', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '35', 'ViolationId': 2, 'DriverId': None, 'VehicleId': None, 'JobId': None, 'Degree': 23840001536, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,15,16,1.0
206984,[],"['D-050523MA31', 'C-050523MA31', 'D-050523MA32', 'C-050523MA32']",[],"['D-050523MA26', 'C-050523MA28', 'D-050523MA37', 'C-050523MA26', 'D-050523MA25', 'C-050523MA27', 'D-050523MA34', 'D-050523MA35', 'D-050523MA36', 'D-050523MA22', 'C-050523MA33', 'C-050523MA24', 'C-050523MA34', 'D-050523MA28', 'C-050523MA21', 'D-050523MA24', 'C-050523MA36', 'D-050523MA27', 'D-050523MA30', 'C-050523MA29', 'C-050523MA37', 'D-050523MA21', 'D-050523MA29', 'C-050523MA30', 'D-050523MA23', 'D-050523MA33', 'C-050523MA25', 'Depot', 'C-050523MA23', 'C-050523MA22', 'C-050523MA35']",True,234.19899999999996,373.81,139.61100000000008,0 days 02:25:48,0 days 03:36:10,0.0,0 days 04:12:30,0 days 04:46:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,31,35,4.0,[],"[{'$id': '39', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '40', 'ViolationId': 8, 'DriverId': 'Driver1', 'VehicleId': None, 'JobId': None, 'Degree': 49675999648, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,16,18,2.0
207014,"['D-080523EF72', 'C-080523EF72']",[],[],"['C-080523EF71', 'D-080523EF70', 'C-080523EF67', 'D-080523EF62', 'D-080523EF66', 'D-080523EF64', 'C-080523EF74', 'C-080523EF61', 'D-080523EF69', 'C-080523EF69', 'D-080523EF67', 'D-080523EF71', 'C-080523EF70', 'C-080523EF63', 'C-080523EF65', 'D-080523EF63', 'C-080523EF75', 'D-080523EF65', 'D-080523EF73', 'D-080523EF68', 'C-080523EF68', 'D-080523EF75', 'Depot', 'C-080523EF62', 'C-080523EF64', 'D-080523EF61', 'D-080523EF74', 'C-080523EF66', 'C-080523EF73']",True,189.789,117.149,-72.63999999999999,0 days 02:51:02,0 days 02:09:19,0.0,0 days 05:22:30,0 days 05:02:56,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,31,29,-2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,16,15,-1.0
207023,"['D-S-196025197-1', 'D-S-196025184-1', 'C-S-196025197-1', 'C-S-196025184-1']",[],[],"['C-S-141219187-1', 'C-S-196025177-1', 'C-S-196025186-1', 'D-S-196025177-1', 'C-S-196025201-1', 'D-S-141219187-1', 'C-GI-196050783-0', 'D-S-196025186-1', 'C-S-141219500-1', 'C-GI-196050832-0', 'D-S-196025166-1', 'C-S-196025199-1', 'D-GI-196050785-0', 'D-GI-196050814-0', 'D-S-141219500-1', 'D-S-196025199-1', 'C-GI-196050829-0', 'C-GI-196050828-0', 'C-GI-196050827-0', 'C-GI-196050785-0', 'C-GI-196050818-0', 'D-GI-196050832-0', 'C-S-196025203-1', 'D-GI-196050827-0', 'C-S-196025166-1', 'C-S-141219210-1', 'D-S-196025203-1', 'D-GI-196050813-0', 'D-GI-196050783-0', 'C-GI-196050814-0', 'D-GI-196050829-0', 'D-GI-196050828-0', 'C-GI-196050813-0', 'D-GI-196050818-0', 'D-S-196025201-1', 'Depot', 'D-S-141219210-1']",True,418.5419999999999,266.308,-152.23399999999992,0 days 06:38:05,0 days 04:45:00,0.0,0 days 06:54:59,0 days 05:30:41,0.0,2,2,0.0,"{'Vehicle2': datetime.timedelta(0), 'Vehicle1': datetime.timedelta(0)}","{'Vehicle1': datetime.timedelta(0), 'Vehicle2': datetime.timedelta(0)}",0.0,41,37,-4.0,[],[],0.0,"['Vehicle2', 'Vehicle1']","['Vehicle2', 'Vehicle1']",0.0,17,15,-2.0
207036,"['D-090523EF10', 'C-090523EF10']",[],[],"['C-090523EF14', 'D-090523EF02', 'D-090523EF15', 'C-090523EF07', 'C-090523EF15', 'C-090523EF09', 'D-090523EF13', 'C-090523EF13', 'C-090523EF04', 'C-090523EF01', 'C-090523EF12', 'D-090523EF14', 'C-090523EF03', 'D-090523EF04', 'D-090523EF12', 'D-090523EF03', 'C-090523EF02', 'D-090523EF16', 'D-090523EF17', 'D-090523EF07', 'C-090523EF17', 'D-090523EF06', 'C-090523EF06', 'D-090523EF09', 'C-090523EF08', 'C-090523EF16', 'Depot', 'D-090523EF11', 'C-090523EF11', 'D-090523EF05', 'C-090523EF05', 'D-090523EF01', 'D-090523EF08']",True,110.434,51.48799999999999,-58.946000000000005,0 days 01:41:51,0 days 01:06:26,0.0,0 days 06:04:30,0 days 05:44:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,35,33,-2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,17,16,-1.0
207095,[],"['D-100523RO27', 'C-100523RO27']",[],"['D-100523RO22', 'D-100523RO14', 'C-100523RO14', 'C-100523RO11', 'D-100523RO4', 'C-100523RO7', 'C-100523RO12', 'D-100523RO5', 'D-100523RO16', 'D-100523RO10', 'C-100523RO17', 'C-100523RO16', 'D-100523RO13', 'D-100523RO23', 'D-100523RO28', 'C-100523RO31', 'D-100523RO31', 'C-100523RO23', 'C-100523RO19', 'C-100523RO6', 'C-100523RO13', 'C-100523RO1', 'C-100523RO29', 'D-100523RO15', 'D-100523RO19', 'C-100523RO30', 'D-100523RO20', 'C-100523RO9', 'D-100523RO3', 'D-100523RO26', 'D-100523RO6', 'C-100523RO2', 'C-100523RO28', 'D-100523RO29', 'D-100523RO7', 'C-100523RO22', 'C-100523RO25', 'D-100523RO9', 'C-100523RO8', 'D-100523RO18', 'C-100523RO4', 'D-100523RO11', 'C-100523RO20', 'D-100523RO24', 'D-100523RO30', 'D-100523RO21', 'C-100523RO15', 'C-100523RO18', 'C-100523RO5', 'Depot', 'D-100523RO1', 'D-100523RO32', 'C-100523RO24', 'D-100523RO8', 'D-100523RO25', 'D-100523RO2', 'D-100523RO17', 'C-100523RO21', 'C-100523RO26', 'C-100523RO10', 'C-100523RO3', 'C-100523RO32', 'D-100523RO12']",True,2395.2139999999995,2632.3699999999994,237.15599999999995,0 days 20:38:13,0 days 22:36:52,0.0,0 days 09:13:53,0 days 09:45:53,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,63,65,2.0,[],"[{'$id': '71', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '72', 'ViolationId': 2, 'DriverId': None, 'VehicleId': None, 'JobId': None, 'Degree': 85830005320, 'Load': None}, {'$id': '73', 'ViolationId': 6, 'DriverId': None, 'VehicleId': None, 'JobId': 'C-100523RO27', 'Degree': 0, 'Load': {'$id': '74', 'Weight': 0.0, 'Quantity': 0.76399994, 'Volume': 0.0, 'HighPallet': 0.0}}, {'$id': '75', 'ViolationId': 6, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-100523RO20', 'Degree': 0, 'Load': {'$id': '76', 'Weight': 0.0, 'Quantity': 0.51399994, 'Volume': 0.0, 'HighPallet': 0.0}}, {'$id': '77', 'ViolationId': 6, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-100523RO32', 'Degree': 0, 'Load': {'$id': '78', 'Weight': 0.0, 'Quantity': 0.5039997, 'Volume': 0.0, 'HighPallet': 0.0}}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,31,32,1.0
207139,[],"['D-120523NA20', 'C-120523NA20']",[],"['C-120523NA13', 'D-120523NA13', 'D-120523NA17', 'D-120523NA12', 'Depot', 'D-120523NA16', 'C-120523NA12', 'C-120523NA18', 'C-120523NA17', 'C-120523NA16', 'D-120523NA19', 'D-120523NA18', 'C-120523NA14', 'D-120523NA14', 'C-120523NA19']",True,86.533,106.45,19.917,0 days 01:29:00,0 days 01:46:52,0.0,0 days 02:57:30,0 days 08:30:53,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,15,17,2.0,[],"[{'$id': '21', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '22', 'ViolationId': 6, 'DriverId': None, 'VehicleId': None, 'JobId': 'C-120523NA20', 'Degree': 0, 'Load': {'$id': '23', 'Weight': 0.0, 'Quantity': 0.25, 'Volume': 0.0, 'HighPallet': 0.0}}, {'$id': '24', 'ViolationId': 8, 'DriverId': 'Driver1', 'VehicleId': None, 'JobId': None, 'Degree': 118717999936, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,8,9,1.0
207186,[],[],[],"['Depot', 'D-150523EF18', 'C-150523EF20', 'C-150523EF21', 'D-150523EF16', 'D-150523EF20', 'D-150523EF21', 'C-150523EF18', 'C-150523EF19', 'D-150523EF27', 'C-150523EF17', 'D-150523EF19', 'C-150523EF27', 'C-150523EF16', 'D-150523EF17']",True,454.097,454.64699999999993,0.5499999999999545,0 days 04:03:33,0 days 04:03:23,0.0,0 days 02:25:00,0 days 02:25:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,15,15,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,6,6,0.0
207219,[],[],[],"['D-160523NA28', 'C-160523NA28', 'D-160523NA31', 'D-160523NA34', 'D-160523NA35', 'D-160523NA33', 'D-160523NA30', 'C-160523NA33', 'C-160523NA29', 'C-160523NA35', 'D-160523NA27', 'C-160523NA32', 'C-160523NA31', 'D-160523NA32', 'C-160523NA30', 'C-160523NA37', 'D-160523NA29', 'D-160523NA37', 'C-160523NA27', 'Depot', 'C-160523NA34']",False,152.26199999999997,148.21799999999996,-4.044000000000011,0 days 02:43:24,0 days 02:37:56,0.0,0 days 04:18:30,0 days 04:18:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,21,21,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,11,11,0.0
207225,[],"['D-160523EF56', 'C-160523EF56']",[],"['D-160523EF65', 'C-160523EF70', 'C-160523EF57', 'D-160523EF57', 'C-160523EF60', 'D-160523EF53', 'C-160523EF51', 'D-160523EF54', 'C-160523EF66', 'C-160523EF59', 'D-160523EF70', 'C-160523EF73', 'C-160523EF58', 'D-160523EF66', 'D-160523EF60', 'D-160523EF68', 'C-160523EF53', 'C-160523EF55', 'D-160523EF62', 'C-160523EF71', 'D-160523EF69', 'C-160523EF64', 'C-160523EF65', 'D-160523EF72', 'D-160523EF52', 'D-160523EF59', 'D-160523EF51', 'D-160523EF73', 'C-160523EF62', 'C-160523EF52', 'D-160523EF63', 'D-160523EF61', 'C-160523EF74', 'C-160523EF54', 'C-160523EF63', 'Depot', 'C-160523EF67', 'C-160523EF61', 'D-160523EF71', 'D-160523EF55', 'C-160523EF69', 'D-160523EF58', 'D-160523EF67', 'C-160523EF68', 'D-160523EF74', 'D-160523EF64', 'C-160523EF72']",True,121.45600000000002,216114.328,215992.872,0 days 02:12:56,0 days 10:36:40,0.0,0 days 06:24:30,0 days 06:42:00,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},"{'Vehicle1': datetime.timedelta(days=12, seconds=25419)}",0.0,47,49,2.0,[],"[{'$id': '53', 'VehicleName': 'Vehicle1', 'ShiftNumber': 0, 'Violations': [{'$id': '54', 'ViolationId': 1, 'DriverId': None, 'VehicleId': None, 'JobId': None, 'Degree': 3442035643904, 'Load': None}, {'$id': '55', 'ViolationId': 2, 'DriverId': None, 'VehicleId': None, 'JobId': None, 'Degree': 3683235643904, 'Load': None}, {'$id': '56', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF56', 'Degree': 496288024832, 'Load': None}, {'$id': '57', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF57', 'Degree': 2457645643904, 'Load': None}, {'$id': '58', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF58', 'Degree': 2468035643904, 'Load': None}, {'$id': '59', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF54', 'Degree': 2478935643904, 'Load': None}, {'$id': '60', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF51', 'Degree': 2488685643904, 'Load': None}, {'$id': '61', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF52', 'Degree': 2490185643904, 'Load': None}, {'$id': '62', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF53', 'Degree': 2491685643904, 'Load': None}, {'$id': '63', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF55', 'Degree': 2493185643904, 'Load': None}, {'$id': '64', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF63', 'Degree': 2498535643904, 'Load': None}, {'$id': '65', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF74', 'Degree': 2513165643904, 'Load': None}, {'$id': '66', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF61', 'Degree': 2530075643904, 'Load': None}, {'$id': '67', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF64', 'Degree': 2544285643904, 'Load': None}, {'$id': '68', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF67', 'Degree': 2557635643904, 'Load': None}, {'$id': '69', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF62', 'Degree': 2573585643904, 'Load': None}, {'$id': '70', 'ViolationId': 5, 'DriverId': None, 'VehicleId': None, 'JobId': 'D-160523EF69', 'Degree': 2596345643904, 'Load': None}]}]",0.0,['Vehicle1'],['Vehicle1'],0.0,17,18,1.0
207260,"['C-170523EF114', 'D-170523EF114']",[],[],"['D-170523EF118', 'D-170523EF115', 'C-170523EF108', 'C-170523EF111', 'C-170523EF106', 'C-170523EF122', 'C-170523EF107', 'D-170523EF119', 'D-170523EF107', 'D-170523EF110', 'C-170523EF115', 'D-170523EF111', 'C-170523EF117', 'D-170523EF109', 'C-170523EF119', 'C-170523EF112', 'C-170523EF116', 'C-170523EF109', 'D-170523EF120', 'D-170523EF113', 'D-170523EF112', 'D-170523EF122', 'D-170523EF116', 'C-170523EF120', 'D-170523EF106', 'D-170523EF121', 'C-170523EF110', 'Depot', 'C-170523EF118', 'C-170523EF113', 'C-170523EF121', 'D-170523EF117', 'D-170523EF108']",True,175.122,130.01199999999997,-45.11000000000004,0 days 02:33:14,0 days 01:39:49,0.0,0 days 04:25:25,0 days 04:09:52,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,35,33,-2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,13,12,-1.0
207269,[],"['D-170523MA18', 'C-170523MA18']",[],"['C-170523MA21', 'C-170523MA10', 'C-170523MA11', 'D-170523MA3', 'D-170523MA20', 'C-170523MA16', 'D-170523MA10', 'C-170523MA24', 'C-170523MA15', 'C-170523MA6', 'D-170523MA8', 'D-170523MA4', 'D-170523MA7', 'C-170523MA23', 'C-170523MA12', 'D-170523MA6', 'C-170523MA9', 'C-170523MA1', 'C-170523MA7', 'D-170523MA17', 'C-170523MA14', 'C-170523MA3', 'D-170523MA12', 'D-170523MA5', 'C-170523MA20', 'D-170523MA9', 'C-170523MA2', 'D-170523MA1', 'D-170523MA11', 'D-170523MA13', 'C-170523MA22', 'D-170523MA16', 'C-170523MA13', 'D-170523MA23', 'D-170523MA15', 'C-170523MA8', 'C-170523MA17', 'D-170523MA21', 'C-170523MA4', 'C-170523MA5', 'Depot', 'C-170523MA19', 'D-170523MA25', 'D-170523MA24', 'D-170523MA2', 'D-170523MA14', 'D-170523MA19', 'C-170523MA25', 'D-170523MA22']",True,343.286,275.718,-67.56800000000004,0 days 03:47:04,0 days 03:19:01,0.0,0 days 07:06:30,0 days 07:23:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,49,51,2.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,24,25,1.0
207284,[],[],[],"['C-180523NA14', 'D-180523NA15', 'D-180523NA13', 'D-180523NA16', 'D-180523NA17', 'Depot', 'C-180523NA15', 'C-180523NA13', 'D-180523NA19', 'D-180523NA14', 'C-180523NA19', 'C-180523NA16', 'C-180523NA17']",False,62.36999999999999,50.399,-11.97099999999999,0 days 01:11:41,0 days 00:56:46,0.0,0 days 02:42:30,0 days 02:42:30,0.0,1,1,0.0,{'Vehicle1': datetime.timedelta(0)},{'Vehicle1': datetime.timedelta(0)},0.0,13,13,0.0,[],[],0.0,['Vehicle1'],['Vehicle1'],0.0,7,7,0.0
